lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,7,0.1,12,20,30,0.107988463,0.338649384,0.272138167,0.080363659
18,23,7,0.1,12,22,26,0.134372284,0.368629311,0.276075272,0.082571081
18,23,7,0.1,12,22,28,0.132785133,0.335643802,0.339144899,0.083123508
18,23,7,0.1,12,22,30,0.152336233,0.347563765,0.242221346,0.083945224
18,23,7,0.1,12,24,26,0.131451241,0.358704756,0.344244312,0.090547616
18,23,7,0.1,12,24,28,0.143019797,0.347638909,0.280382755,0.091097088
18,23,7,0.1,12,24,30,0.137681502,0.361174404,0.265382482,0.090723078
18,23,7,0.1,14,20,26,0.117829169,0.363845168,0.248767656,0.09124999
18,23,7,0.1,14,20,28,0.155058928,0.334544143,0.246112066,0.090826804
18,23,7,0.1,14,20,30,0.142102249,0.360713929,0.30867494,0.091330347
18,23,7,0.1,14,22,26,0.131666066,0.332615566,0.269956323,0.091096314
18,23,7,0.1,14,22,28,0.113215758,0.346267548,0.285165282,0.092530395
18,23,7,0.1,14,22,30,0.126188997,0.347722824,0.320084974,0.091489184
18,23,7,0.1,14,24,26,0.112417058,0.363698742,0.38443637,0.091474637
18,23,7,0.1,14,24,28,0.113416344,0.372195529,0.39586992,0.091401701
18,23,7,0.1,14,24,30,0.11171712,0.369999595,0.258621056,0.091273159
18,23,7,0.1,16,20,26,0.110612697,0.338432585,0.294927621,0.092614393
18,23,7,0.1,16,20,28,0.121882686,0.34838366,0.236461738,0.089347901
18,23,7,0.1,16,20,30,0.118878118,0.338897873,0.229668761,0.087759752
18,23,7,0.1,16,22,26,0.128019864,0.346247459,0.260258158,0.086935817
18,23,7,0.1,16,22,28,0.110516175,0.362591974,0.417494891,0.086378285
18,23,7,0.1,16,22,30,0.148182825,0.345587402,0.27962084,0.088230793
18,23,7,0.1,16,24,26,0.125148675,0.339230336,0.313600646,0.091137085
18,23,7,0.1,16,24,28,0.122796745,0.359121582,0.223740351,0.091636527
18,23,7,0.1,16,24,30,0.119097986,0.344223352,0.293922816,0.091456582
18,25,5,0,12,20,26,0.125696266,0.344588865,0.327727374,0.058102817
18,25,5,0,12,20,28,0.113134835,0.324678037,0.337983916,0.058034991
18,25,5,0,12,20,30,0.115148476,0.327673241,0.424406453,0.060488055
18,25,5,0,12,22,26,0.115101304,0.326253932,0.304176205,0.06460894
18,25,5,0,12,22,28,0.160901856,0.369763812,0.351081892,0.064281531
