Metros2,CapasCNN,Kernel,lookback,batchsize,updates,threshold,numfilters1,numfilters2,numfilters3,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
49,1,3,18,25,6,0,16,,,0.140966651,0.317910143,0.304314092,0.038344273
49,1,3,18,25,6,0,18,,,0.125616867,0.32494159,0.227776985,0.03970774
49,1,3,18,25,6,0,20,,,0.134359081,0.3193303,0.460571397,0.039773329
49,1,3,18,25,6,0.1,16,,,0.140966651,0.317910143,0.279490356,0.037643218
49,1,3,18,25,6,0.1,18,,,0.125616867,0.32494159,0.32650844,0.038279126
49,1,3,18,25,6,0.1,20,,,0.134359081,0.3193303,0.327456883,0.038435166
49,1,3,18,25,6,0.5,16,,,0.140966651,0.317910143,0.274607351,0.041310362
49,1,3,18,25,6,0.5,18,,,0.125616867,0.32494159,0.273795625,0.040855898
49,1,3,18,25,6,0.5,20,,,0.134359081,0.3193303,0.29187384,0.045863802
49,1,3,18,25,7,0,16,,,0.140966651,0.317910143,0.269967791,0.042763462
49,1,3,18,25,7,0,18,,,0.125616867,0.32494159,0.259485365,0.043026591
49,1,3,18,25,7,0,20,,,0.134359081,0.3193303,0.274488607,0.049615151
49,1,3,18,25,7,0.1,16,,,0.140966651,0.317910143,0.278330354,0.044159557
49,1,3,18,25,7,0.1,18,,,0.125616867,0.32494159,0.311502188,0.047806987
49,1,3,18,25,7,0.1,20,,,0.134359081,0.3193303,0.33766317,0.050050353
49,1,3,18,25,7,0.5,16,,,0.140966651,0.317910143,0.267004107,0.055928974
49,1,3,18,25,7,0.5,18,,,0.125616867,0.32494159,0.299357134,0.052741786
49,1,3,18,25,7,0.5,20,,,0.134359081,0.3193303,0.348501788,0.0538495
49,1,3,24,20,5,0,16,,,0.117808723,0.340731834,0.393406854,0.037318848
49,1,3,24,20,5,0,18,,,0.112246438,0.35286297,0.24014195,0.037610687
49,1,3,24,20,5,0,20,,,0.119970717,0.325216536,0.276168363,0.036914802
49,1,3,24,20,5,0.1,16,,,0.117808723,0.340731834,0.390218603,0.037134678
49,1,3,24,20,5,0.1,18,,,0.112246438,0.35286297,0.312101398,0.037616248
49,1,3,24,20,5,0.1,20,,,0.119970717,0.325216536,0.3509325,0.036405253
49,1,3,24,20,5,0.5,16,,,0.117808723,0.340731834,0.328150171,0.039459335
49,1,3,24,20,5,0.5,18,,,0.112246438,0.35286297,0.359558867,0.059869666
49,1,3,24,20,5,0.5,20,,,0.119970717,0.325216536,0.333398912,0.050406599
49,1,3,24,20,6,0,18,,,0.112246438,0.35286297,0.269598007,0.044577703
49,1,3,24,20,6,0.1,18,,,0.112246438,0.35286297,0.426802929,0.045313946
49,1,3,24,20,6,0.5,16,,,0.117808723,0.340731834,0.315422046,0.065343015
49,1,3,24,20,6,0.5,18,,,0.112246438,0.35286297,0.348243961,0.062207036
49,1,3,24,20,6,0.5,20,,,0.119970717,0.325216536,0.317355156,0.049740282
49,1,3,24,20,7,0,18,,,0.112246438,0.35286297,0.657100766,0.049356291
49,1,3,24,20,7,0.1,18,,,0.112246438,0.35286297,0.313276536,0.051035064
49,1,3,24,20,7,0.5,16,,,0.117808723,0.340731834,0.312013342,0.054864899
49,1,3,24,20,7,0.5,18,,,0.112246438,0.35286297,0.337360905,0.063688997
49,1,3,24,20,7,0.5,20,,,0.119970717,0.325216536,0.33993197,0.052544791
49,1,3,24,23,5,0,16,,,0.130595776,0.347522233,0.230059712,0.03533942
49,1,3,24,23,5,0,18,,,0.151315067,0.357331214,0.418150599,0.036191662
49,1,3,24,23,5,0,20,,,0.124401612,0.322860066,0.386483148,0.033891592
49,1,3,24,23,5,0.1,16,,,0.130595776,0.347522233,0.478601332,0.033823258
49,1,3,24,23,5,0.1,18,,,0.151315067,0.357331214,0.370274081,0.034250916
49,1,3,24,23,5,0.1,20,,,0.124401612,0.322860066,0.268966062,0.034260235
49,1,3,24,23,5,0.5,16,,,0.130595776,0.347522233,0.304883196,0.046709724
49,1,3,24,23,5,0.5,18,,,0.151315067,0.357331214,0.421513869,0.043543589
49,1,3,24,23,5,0.5,20,,,0.124401612,0.322860066,0.275943713,0.041427315
49,1,3,24,23,6,0,16,,,0.130595776,0.347522233,0.226208074,0.03979458
49,1,3,24,23,6,0,18,,,0.151315067,0.357331214,0.314892239,0.03988182
49,1,3,24,23,6,0,20,,,0.124401612,0.322860066,0.232297002,0.039541622
49,1,3,24,23,6,0.1,16,,,0.130595776,0.347522233,0.216309413,0.039182483
49,1,3,24,23,6,0.1,18,,,0.151315067,0.357331214,0.351560575,0.039662168
49,1,3,24,23,6,0.1,20,,,0.124401612,0.322860066,0.362003572,0.040611839
49,1,3,24,23,6,0.5,16,,,0.130595776,0.347522233,0.39750474,0.04955008
49,1,3,24,23,6,0.5,18,,,0.151315067,0.357331214,0.314955168,0.047159018
49,1,3,24,23,6,0.5,20,,,0.124401612,0.322860066,0.456307151,0.045442126
49,1,3,24,23,7,0,16,,,0.130595776,0.347522233,0.268820131,0.046337355
49,1,3,24,23,7,0,18,,,0.151315067,0.357331214,0.359922352,0.046114273
49,1,3,24,23,7,0,20,,,0.124401612,0.322860066,0.291952887,0.046591245
49,1,3,24,23,7,0.1,16,,,0.130595776,0.347522233,0.255361776,0.044700053
49,1,3,24,23,7,0.1,18,,,0.151315067,0.357331214,0.28759481,0.04565009
49,1,3,24,23,7,0.1,20,,,0.124401612,0.322860066,0.287294438,0.045792016
49,1,3,24,23,7,0.5,16,,,0.130595776,0.347522233,0.280597023,0.065463193
49,1,3,24,23,7,0.5,18,,,0.151315067,0.357331214,0.292524491,0.055200909
49,1,3,24,23,7,0.5,20,,,0.124401612,0.322860066,0.284647096,0.061282099
49,1,3,24,25,5,0,16,,,0.118254842,0.347724685,0.268768734,0.033182169
49,1,3,24,25,5,0,18,,,0.120276451,0.340963158,0.429839291,0.034093891
49,1,3,24,25,5,0,20,,,0.122224145,0.317708799,0.241971475,0.033895628
49,1,3,24,25,5,0.1,16,,,0.118254842,0.347724685,0.286629756,0.033402023
49,1,3,24,25,5,0.1,18,,,0.120276451,0.340963158,0.318693356,0.034098156
49,1,3,24,25,5,0.1,20,,,0.122224145,0.317708799,0.286263883,0.034194557
49,1,3,24,25,5,0.5,16,,,0.118254842,0.347724685,0.295697346,0.040801044
49,1,3,24,25,5,0.5,18,,,0.120276451,0.340963158,0.293781317,0.04291352
49,1,3,24,25,5,0.5,20,,,0.122224145,0.317708799,0.387354598,0.036719504
49,1,3,24,25,6,0,18,,,0.120276451,0.340963158,0.270335952,0.040067021
49,1,3,24,25,6,0.1,18,,,0.120276451,0.340963158,0.375185863,0.041718137
49,1,3,24,25,6,0.5,16,,,0.118254842,0.347724685,0.353371657,0.054683735
49,1,3,24,25,6,0.5,18,,,0.120276451,0.340963158,0.32066527,0.059417118
49,1,3,24,25,6,0.5,20,,,0.122224145,0.317708799,0.275927944,0.062535562
49,1,3,24,25,7,0,18,,,0.120276451,0.340963158,0.415482773,0.064440644
49,1,3,24,25,7,0.1,18,,,0.120276451,0.340963158,0.269077588,0.064031578
49,1,3,24,25,7,0.5,16,,,0.118254842,0.347724685,0.487295061,0.068174794
