lookback,batchsize,updates,threshold,numfilters1,numfilters2,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,27,5,0.1,12,24,0.129077873,0.329221519,0.393733257,0.04763401
18,27,5,0.1,14,20,0.129461766,0.353720985,0.283967057,0.048466686
18,27,5,0.1,14,22,0.139520507,0.340289297,0.298865983,0.0491601
18,27,5,0.1,14,24,0.124517361,0.337139394,0.432628534,0.048651772
18,27,5,0.1,16,20,0.146477415,0.345925761,0.346663613,0.046607767
18,27,5,0.1,16,22,0.117742731,0.332837446,0.862216029,0.045645429
18,27,5,0.1,16,24,0.118466322,0.32019162,0.397505847,0.045837317
18,27,5,0.15,12,20,0.123071001,0.320391993,0.723805927,0.045670721
18,27,5,0.15,12,22,0.126970166,0.322163398,0.226075073,0.046070041
18,27,5,0.15,12,24,0.129077873,0.329221519,0.248712271,0.046188533
18,27,5,0.15,14,20,0.129461766,0.353720985,0.401771938,0.046593649
18,27,5,0.15,14,22,0.139520507,0.340289297,0.293381688,0.046360066
18,27,5,0.15,14,24,0.124517361,0.337139394,0.267279657,0.046028577
18,27,5,0.15,16,20,0.146477415,0.345925761,0.29231399,0.047497722
18,27,5,0.15,16,22,0.117742731,0.332837446,0.352702778,0.047722379
18,27,5,0.15,16,24,0.118466322,0.32019162,0.284276966,0.04748148
18,27,5,0.2,12,20,0.123071001,0.320391993,0.316731234,0.047382049
18,27,5,0.2,12,22,0.126970166,0.322163398,0.290421812,0.048297068
18,27,5,0.2,12,24,0.129077873,0.329221519,0.298587619,0.0479817
18,27,5,0.2,14,20,0.129461766,0.353720985,0.264552813,0.048447538
18,27,5,0.2,14,22,0.139520507,0.340289297,0.312383482,0.049379508
18,27,5,0.2,14,24,0.124517361,0.337139394,0.439375384,0.04836221
18,27,5,0.2,16,20,0.146477415,0.345925761,0.450371608,0.046299302
18,27,5,0.2,16,22,0.117742731,0.332837446,0.237035877,0.048328932
18,27,5,0.2,16,24,0.118466322,0.32019162,0.409509102,0.046931404
18,27,6,0,12,20,0.123071001,0.320391993,0.249694486,0.053557072
18,27,6,0,12,22,0.126970166,0.322163398,0.317101176,0.055651206
18,27,6,0,12,24,0.129077873,0.329221519,0.393674792,0.053159202
18,27,6,0,14,20,0.129461766,0.353720985,0.342138209,0.053712472
18,27,6,0,14,22,0.139520507,0.340289297,0.262593953,0.053332294
18,27,6,0,14,24,0.124517361,0.337139394,0.476337326,0.052216247
18,27,6,0,16,20,0.146477415,0.345925761,0.786753883,0.052965637
18,27,6,0,16,22,0.117742731,0.332837446,0.242668934,0.052540591
18,27,6,0,16,24,0.118466322,0.32019162,0.392437875,0.05298322
18,27,6,0.1,12,20,0.123071001,0.320391993,0.42229625,0.052635946
18,27,6,0.1,12,22,0.126970166,0.322163398,0.287800508,0.05283954
18,27,6,0.1,12,24,0.129077873,0.329221519,0.257434422,0.053255923
18,27,6,0.1,14,20,0.129461766,0.353720985,0.250398411,0.053751716
18,27,6,0.1,14,22,0.139520507,0.340289297,0.223291192,0.054143423
18,27,6,0.1,14,24,0.124517361,0.337139394,0.28347275,0.053251695
18,27,6,0.1,16,20,0.146477415,0.345925761,0.318122728,0.053991668
18,27,6,0.1,16,22,0.117742731,0.332837446,0.265963214,0.053045599
18,27,6,0.1,16,24,0.118466322,0.32019162,0.437896437,0.052632808
18,27,6,0.15,12,20,0.123071001,0.320391993,0.448616519,0.053094285
18,27,6,0.15,12,22,0.126970166,0.322163398,0.240184706,0.055201617
18,27,6,0.15,12,24,0.129077873,0.329221519,0.377219287,0.053805169
18,27,6,0.15,14,20,0.129461766,0.353720985,0.424034821,0.053634016
18,27,6,0.15,14,22,0.139520507,0.340289297,0.302426116,0.052945628
18,27,6,0.15,14,24,0.124517361,0.337139394,0.427340537,0.053494313
18,27,6,0.15,16,20,0.146477415,0.345925761,0.27807091,0.053717255
18,27,6,0.15,16,22,0.117742731,0.332837446,0.344924897,0.053526456
18,27,6,0.15,16,24,0.118466322,0.32019162,0.320946015,0.05414319
18,27,6,0.2,12,20,0.123071001,0.320391993,0.275027831,0.055124985
18,27,6,0.2,12,22,0.126970166,0.322163398,0.26856051,0.054099945
18,27,6,0.2,12,24,0.129077873,0.329221519,0.445207268,0.053463122
18,27,6,0.2,14,20,0.129461766,0.353720985,0.282080016,0.055139437
18,27,6,0.2,14,22,0.139520507,0.340289297,0.219167235,0.056287898
18,27,6,0.2,14,24,0.124517361,0.337139394,0.275267741,0.055236643
18,27,6,0.2,16,20,0.146477415,0.345925761,0.39455761,0.05335837
18,27,6,0.2,16,22,0.117742731,0.332837446,0.258434725,0.055667835
18,27,6,0.2,16,24,0.118466322,0.32019162,0.470645736,0.053486499
18,27,7,0,12,20,0.123071001,0.320391993,0.276372124,0.061292423
18,27,7,0,12,22,0.126970166,0.322163398,0.248305009,0.060709466
18,27,7,0,12,24,0.129077873,0.329221519,0.342347176,0.062800713
18,27,7,0,14,20,0.129461766,0.353720985,0.237492908,0.062446614
18,27,7,0,14,22,0.139520507,0.340289297,0.274226907,0.061141886
18,27,7,0,14,24,0.124517361,0.337139394,0.239588096,0.060650493
18,27,7,0,16,20,0.146477415,0.345925761,0.356815326,0.060218146
18,27,7,0,16,22,0.117742731,0.332837446,0.271341229,0.061029356
18,27,7,0,16,24,0.118466322,0.32019162,0.4076641,0.061469038
18,27,7,0.1,12,20,0.123071001,0.320391993,0.326967728,0.062922419
18,27,7,0.1,12,22,0.126970166,0.322163398,0.222430084,0.061793984
18,27,7,0.1,12,24,0.129077873,0.329221519,0.237905682,0.061514443
18,27,7,0.1,14,20,0.129461766,0.353720985,0.34903194,0.062171581
18,27,7,0.1,14,22,0.139520507,0.340289297,0.220916613,0.062669596
18,27,7,0.1,14,24,0.124517361,0.337139394,0.271618578,0.062365337
18,27,7,0.1,16,20,0.146477415,0.345925761,0.351277314,0.062152279
18,27,7,0.1,16,22,0.117742731,0.332837446,0.286117589,0.062535483
18,27,7,0.1,16,24,0.118466322,0.32019162,0.215292293,0.06185714
18,27,7,0.15,12,20,0.123071001,0.320391993,0.238093396,0.061856667
18,27,7,0.15,12,22,0.126970166,0.322163398,0.225797925,0.062230802
